"","x"
"163",2007-08-24
"164",2007-08-27
"165",2007-08-28
"166",2007-08-29
"167",2007-08-30
"168",2007-08-31
"169",2007-09-04
"170",2007-09-05
"171",2007-09-06
"172",2007-09-07
"173",2007-09-10
"174",2007-09-11
"175",2007-09-12
"176",2007-09-13
"177",2007-09-14
"178",2007-09-17
"179",2007-09-18
"180",2007-09-19
"181",2007-09-20
"182",2007-09-21
"183",2007-09-24
"184",2007-09-25
"185",2007-09-26
"186",2007-09-27
"187",2007-09-28
"188",2007-10-01
"189",2007-10-02
"190",2007-10-03
"191",2007-10-04
"192",2007-10-05
"193",2007-10-08
"194",2007-10-09
"195",2007-10-10
"196",2007-10-11
"197",2007-10-12
"198",2007-10-15
"199",2007-10-16
"200",2007-10-17
"201",2007-10-18
"202",2007-10-19
"203",2007-10-22
"204",2007-10-23
"205",2007-10-24
"206",2007-10-25
"207",2007-10-26
"208",2007-10-29
"209",2007-10-30
"210",2007-10-31
"211",2007-11-01
"212",2007-11-02
"213",2007-11-05
"214",2007-11-06
"215",2007-11-07
"216",2007-11-08
"217",2007-11-09
"218",2007-11-12
"219",2007-11-13
"220",2007-11-14
"221",2007-11-15
"222",2007-11-16
"223",2007-11-19
"224",2007-11-20
"225",2007-11-21
"226",2007-11-23
"227",2007-11-26
"228",2007-11-27
"229",2007-11-28
"230",2007-11-29
"231",2007-11-30
"232",2007-12-03
"233",2007-12-04
"234",2007-12-05
"235",2007-12-06
"236",2007-12-07
"237",2007-12-10
"238",2007-12-11
"239",2007-12-12
"240",2007-12-13
"241",2007-12-14
"242",2007-12-17
"243",2007-12-18
"244",2007-12-19
"245",2007-12-20
"246",2007-12-21
"247",2007-12-24
"248",2007-12-26
"249",2007-12-27
"250",2007-12-28
"251",2007-12-31
"252",2008-01-02
"253",2008-01-03
"254",2008-01-04
"255",2008-01-07
"256",2008-01-08
"257",2008-01-09
"258",2008-01-10
"259",2008-01-11
"260",2008-01-14
"261",2008-01-15
"262",2008-01-16
"263",2008-01-17
"264",2008-01-18
"265",2008-01-22
"266",2008-01-23
"267",2008-01-24
"268",2008-01-25
"269",2008-01-28
"270",2008-01-29
"271",2008-01-30
"272",2008-01-31
"273",2008-02-01
"274",2008-02-04
"275",2008-02-05
"276",2008-02-06
"277",2008-02-07
"278",2008-02-08
"279",2008-02-11
"280",2008-02-12
"281",2008-02-13
"282",2008-02-14
"283",2008-02-15
"284",2008-02-19
"285",2008-02-20
"286",2008-02-21
"287",2008-02-22
"288",2008-02-25
"289",2008-02-26
"290",2008-02-27
"291",2008-02-28
"292",2008-02-29
"293",2008-03-03
"294",2008-03-04
"295",2008-03-05
"296",2008-03-06
"297",2008-03-07
"298",2008-03-10
"299",2008-03-11
"300",2008-03-12
"301",2008-03-13
"302",2008-03-14
"303",2008-03-17
"304",2008-03-18
"305",2008-03-19
"306",2008-03-20
"307",2008-03-24
"308",2008-03-25
"309",2008-03-26
"310",2008-03-27
"311",2008-03-28
"312",2008-03-31
"313",2008-04-01
"314",2008-04-02
"315",2008-04-03
"316",2008-04-04
"317",2008-04-07
"318",2008-04-08
"319",2008-04-09
"320",2008-04-10
"321",2008-04-11
"322",2008-04-14
"323",2008-04-15
"324",2008-04-16
"325",2008-04-17
"326",2008-04-18
"327",2008-04-21
"328",2008-04-22
"329",2008-04-23
"330",2008-04-24
"331",2008-04-25
"332",2008-04-28
"333",2008-04-29
"334",2008-04-30
"335",2008-05-01
"336",2008-05-02
"337",2008-05-05
"338",2008-05-06
"339",2008-05-07
"340",2008-05-08
"341",2008-05-09
"342",2008-05-12
"343",2008-05-13
"344",2008-05-14
"345",2008-05-15
"346",2008-05-16
"347",2008-05-19
"348",2008-05-20
"349",2008-05-21
"350",2008-05-22
"351",2008-05-23
"352",2008-05-27
"353",2008-05-28
"354",2008-05-29
"355",2008-05-30
"356",2008-06-02
"357",2008-06-03
"358",2008-06-04
"359",2008-06-05
"360",2008-06-06
"361",2008-06-09
"362",2008-06-10
"363",2008-06-11
"364",2008-06-12
"365",2008-06-13
"366",2008-06-16
"367",2008-06-17
"368",2008-06-18
"369",2008-06-19
"370",2008-06-20
"371",2008-06-23
"372",2008-06-24
"373",2008-06-25
"374",2008-06-26
"375",2008-06-27
"376",2008-06-30
"377",2008-07-01
"378",2008-07-02
"379",2008-07-03
"380",2008-07-07
"381",2008-07-08
"382",2008-07-09
"383",2008-07-10
"384",2008-07-11
"385",2008-07-14
"386",2008-07-15
"387",2008-07-16
"388",2008-07-17
"389",2008-07-18
"390",2008-07-21
"391",2008-07-22
"392",2008-07-23
"393",2008-07-24
"394",2008-07-25
"395",2008-07-28
"396",2008-07-29
"397",2008-07-30
"398",2008-07-31
"399",2008-08-01
"400",2008-08-04
"401",2008-08-05
"402",2008-08-06
"403",2008-08-07
"404",2008-08-08
"405",2008-08-11
"406",2008-08-12
"407",2008-08-13
"408",2008-08-14
"409",2008-08-15
"410",2008-08-18
"411",2008-08-19
"412",2008-08-20
"413",2008-08-21
"414",2008-08-22
"415",2008-08-25
"416",2008-08-26
"417",2008-08-27
"418",2008-08-28
"419",2008-08-29
"420",2008-09-02
"421",2008-09-03
"422",2008-09-04
"423",2008-09-05
"424",2008-09-08
"425",2008-09-09
"426",2008-09-10
"427",2008-09-11
"428",2008-09-12
"429",2008-09-15
"430",2008-09-16
"431",2008-09-17
"432",2008-09-18
"433",2008-09-19
"434",2008-09-22
"435",2008-09-23
"436",2008-09-24
"437",2008-09-25
"438",2008-09-26
"439",2008-09-29
"440",2008-09-30
"441",2008-10-01
"442",2008-10-02
"443",2008-10-03
"444",2008-10-06
"445",2008-10-07
"446",2008-10-08
"447",2008-10-09
"448",2008-10-10
"449",2008-10-13
"450",2008-10-14
"451",2008-10-15
"452",2008-10-16
"453",2008-10-17
"454",2008-10-20
"455",2008-10-21
"456",2008-10-22
"457",2008-10-23
"458",2008-10-24
"459",2008-10-27
"460",2008-10-28
"461",2008-10-29
"462",2008-10-30
"463",2008-10-31
"464",2008-11-03
"465",2008-11-04
"466",2008-11-05
"467",2008-11-06
"468",2008-11-07
"469",2008-11-10
"470",2008-11-11
"471",2008-11-12
"472",2008-11-13
"473",2008-11-14
"474",2008-11-17
"475",2008-11-18
"476",2008-11-19
"477",2008-11-20
"478",2008-11-21
"479",2008-11-24
"480",2008-11-25
"481",2008-11-26
"482",2008-11-28
"483",2008-12-01
"484",2008-12-02
"485",2008-12-03
"486",2008-12-04
"487",2008-12-05
"488",2008-12-08
"489",2008-12-09
"490",2008-12-10
"491",2008-12-11
"492",2008-12-12
"493",2008-12-15
"494",2008-12-16
"495",2008-12-17
"496",2008-12-18
"497",2008-12-19
"498",2008-12-22
"499",2008-12-23
"500",2008-12-24
"501",2008-12-26
"502",2008-12-29
"503",2008-12-30
"504",2008-12-31
